question,answer
Qu'est-ce que Shop My Influence ?,"Fondée en 2021, Shop My Influence est une société française spécialisée dans le domaine de l'influence marketing et de l'affiliation. Nous créons des opportunités de business entre les marques et les influenceurs. Grâce à notre Application conçue spécifiquement pour eux, nous aidons les influenceurs à maximiser la monétisation de leur audience en leur permettant de collaborer avec leurs marques favorites. Grâce à cette interface mobile, ils peuvent générer des liens d'affiliation pour monétiser leur contenu, percevoir des commissions sur les ventes,sur les clics, recevoir de la dotation produits et être rémunérés pour leurs créations de contenu. /n #Spontanéité Choisis librement parmi plus de 1500 e-shops disponibles et partage tes bons plans avec spontanéité. Que ce soit tes looks mode, ta routine skincare, tes trouvailles déco, ta trousse make-up, tes tests high-tech ou tes idées cadeaux, tout est à portée de main grâce à l’application. Garde ton authenticité : inspire tes followers avec des contenus qui te ressemblent. /n #Simplicité Inscription rapide, interface intuitive : crée facilement des liens d'affiliation ou des wishlists à partager sur tes réseaux sociaux préférés (Instagram, TikTok, YouTube, Pinterest, X et plus encore). Tout a été pensé pour s'intégrer parfaitement à ta routine. /n #Opportunités Diversifie tes revenus ! Postule aux campagnes de gifting et découvre nos ""programmes ambassadeurs"" pour des collaborations à long terme. Ton engagement et tes statistiques de performance font la différence auprès des marques. Génère des ventes via l’application et attire leur attention pour des collaborations rémunérées. /n #Accompagnement Besoin d’un coup de pouce ? Notre équipe dédiée est là pour t’accompagner par e-mail, WhatsApp ou téléphone. Obtiens des conseils pour maximiser tes revenus et simplifier ton expérience. /n #Paiement Adieu la paperasse ! Factures automatisées, paiements simples via virement ou PayPal : tout est sous contrôle pour que tu te concentres sur ce que tu fais de mieux./n International Disponible en français, anglais, espagnol, portugais, italien et plus encore : accède à un large choix de marques où que tu sois. L’application t’accompagne, peu importe ton marché ou ton audience."
Comment utiliser l'application ?,"1. Crée ton compte et explore notre catalogue de marques pour sélectionner les produits que tu souhaites partager. /n 2. Génère et copie tes liens d’affiliation, que ce soit pour un seul produit ou pour toute une wishlist. /n 3. Partage-les avec ta communauté sur tes réseaux sociaux : en story Instagram, en bio sur TikTok, en description Youtube,...ou sur ton blog."
Comment créer une wishlist ?,"1. Rendez-vous dans la section “Wishlists” et clique sur le bouton “+” en bas à droite. /n 2. Sélectionne “Ajouter une wishlist” pour en créer une nouvelle. /n 3. Donne-lui un nom et commence à y ajouter tes produits favoris !"
Comment ajouter un produit à une wishlist ?,"1.  Depuis la wishlist slectionnée, clique sur le bouton “+” en haut à droite. /n 2. Sélectionne la marque dont tu souhaites ajouter un produit. /n 3. Une fois sur le site web de la marque, accède à la page du produit et appuie sur son image pendant deux secondes. /n 4. Clique sur ""Ajouter"" puis ""Voir wishlist"" pour retourner à ta wishlist ou ""Continuer"" pour enrichir ta sélection ! /n 1. Clique sur le bouton “+” en bas à droite, puis sélectionne “Ajouter un produit”./n 2. Choisis la marque dont tu veux ajouter un produit. /n 3. Une fois sur le site de la marque, accède à la page du produit et appuie sur son image pendant deux secondes./n 4. Sélectionne la wishlist dans laquelle tu veux ajouter le produit ou crée-en une nouvelle. /n 5. Clique sur ""Ajouter"" puis ""Voir wishlist"" pour retourner à ta wishlist ou ""Continuer"" pour enrichir ta sélection !"
Comment obtenir un lien produit unique ?,"1. Depuis l’interface de ta wishlist, clique sur le produit que tu souhaites partager, puis sur l’icône de lien. /n 2. Copie le lien pour le partager directement sur tes réseaux sociaux ou teste-le avant de le publier."
Comment obtenir le lien d'une wishlist ?,"Depuis l’interface de tes  wishlists, selectionne une wishlist, puis au milieu en bas appuie sur ""copier l'url' et ton lien sera copié ! /n Pense à partager régulièrement tes wishlists pour maximiser leur visibilité et attirer l’attention des marques partenaires !"
Qu'est-ce qu'une vitrine ?,"La vitrine est votre espace personnalisé sur Shop My Influence. Elle vous permet de présenter votre profil (photo, biographie, réseaux sociaux) ainsi que vos sélections de produits (wishlists). Vous pouvez partager votre vitrine avec vos followers afin de leur recommander directement vos produits favoris, tout en mettant en avant votre univers et vos coups de cœur. Toutes les ventes générées à partir de votre vitrine sont automatiquement trackées, et vous touchez une commission sur chaque vente réalisée grâce à vos partages."
Comment gérer ma vitrine ? ,"Vous pouvez personnaliser et organiser votre vitrine directement depuis l'application Shop My Influence :Modifier vos informations de profil : depuis la section ""Profil"" de l'application, vous pouvez mettre à jour les informations affichées sur votre vitrine, comme votre pseudo, votre biographie et vos réseaux sociaux.Gérer vos wishlists : dans la section ""Wishlists"", vous pouvez :Choisir d'afficher ou de masquer une wishlist en effectuant un swipe vers la gauche sur la wishlist souhaitée.Modifier l'ordre d'affichage de vos wishlists par simple glisser-déposer (drag & drop).Gérer les articles à l'intérieur d'une wishlist : en accédant aux détails d'une wishlist, vous pouvez :Choisir d'afficher ou de masquer des articles spécifiques en cliquant sur l'icône œil présente sur chaque produit pour le sélectionner ou le désélectionner.Réorganiser l'ordre des articles dans une wishlist via glisser-déposer (drag & drop).Grâce à ces options, vous pouvez contrôler facilement le contenu de votre vitrine et mettre en avant les produits que vous souhaitez recommander à votre communauté."
Comment copier le lien de ma vitrine ? ,"Pour copier le lien de votre vitrine, suivez ces étapes :Accédez à la section ""Wishlists"" dans l'application. Cliquez sur le bouton ""+"" en bas à droite de l'écran. Sélectionnez l'option ""Lien de ma vitrine"". Votre lien sera alors copié et prêt à être partagé à votre communauté !"
Comment suivre tes statistiques ?,"Rendez-vous dans l’onglet ""Statistiques"" pour suivre en temps réel toutes tes performances. Choisis la période et la ou les marques concernées puis clique sur ""Calculer"". Tu obtiendras en temps réel le total de: - tes gains totaux, tes clics, tes ventes, ton chiffre d'affaires,- tes commissions: sur les ventes, sur les clics, des installations, des parrainages et les bonus.A côté des ""Ventes"" et des ""Bonus"" tu as la possibilité d'accéder à des informations plus détaillées en cliquant sur ""Voir détails"": - suivi vente par vente- analyse des ventes par marque- identification de tes best-sellers- visualisation de graphiques mensuels pour suivre l’évolution de tes revenus."
"Quelle est la différence entre les ventes confirmées, en attentes et refusées dans mes statistiques ?","Ventes confirmées : Ventes revues et validées par la marque. Ventes en attente : Ventes suivies qui n’ont pas encore été validées par la marque. Ventes rejetées : Ventes non validées par la marque, généralement en raison de retours produits ou d’échecs de paiement."
